question,variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
gun_control,const,-3.677312613983601,0.21641038788827735,-16.99231099702121,9.362650109180412e-65,-4.101469180124968,-3.2531560478422343
gun_control,theta,0.09836290040221082,0.053995423294335286,1.8216895877641943,0.0685020987290341,-0.007466184584681415,0.20419198538910305
gun_control,gender_group_Male,-1.6856834360119404,0.12027983812368916,-14.014679952249988,1.2676847238751363e-44,-1.921427586800679,-1.4499392852232018
gun_control,education_group_Mid,-0.8840459872015402,0.1265704792474796,-6.984614362350564,2.85639486672061e-12,-1.1321195680325744,-0.6359724063705058
gun_control,education_group_Low,-1.3353282820053205,0.1609758769497264,-8.295207377080173,1.0839593978384235e-16,-1.6508352032065357,-1.0198213608041053
gun_control,ideology_group_Liberal,5.351420781235024,0.1514317235985772,35.33883557596451,1.4881108570519176e-273,5.054620056864989,5.6482215056050595
gun_control,ideology_group_Conservative,-3.0011465050790407,0.5135021204434961,-5.844467599251669,5.0819093878849156e-09,-4.007592167133242,-1.9947008430248394
gun_control,age_group_Under 35,0.5071759533088427,0.1507613648194728,3.3640976513853786,0.0007679436624412274,0.21168910800257207,0.8026627986151134
gun_control,age_group_Over 60,7.83406385977499e-06,0.13172832343752222,5.9471369978307126e-05,0.9999525487121125,-0.25817493561752725,0.2581906037452468
gun_control,income_group_Middle,0.2662690672753734,0.13903225371698089,1.9151604045590775,0.05547205036299304,-0.006229142699344159,0.538767277250091
gun_control,income_group_High,0.11169269338574034,0.15046175815444396,0.7423327678458438,0.45788574310649033,-0.1832069336475456,0.40659232041902627
gun_control,marital_group_Never married,0.29806982527644305,0.15205164234535398,1.9603196695464744,0.049958438419410243,5.4082489383822097e-05,0.5960855680635022
gun_control,marital_group_Previously married,0.02371255138515166,0.14525764367728305,0.16324477517915348,0.8703257135178949,-0.2609871987014754,0.3084123014717787
gun_control,religion_group_Non-religious,2.467014693651766,0.14560114111801972,16.94364944332463,2.1440141283591245e-64,2.1816417009525133,2.752387686351019
gun_control,religion_group_Non-Western religion,2.978066119257749,0.27862058110167187,10.688607810242914,1.1508546637115595e-26,2.431979814946851,3.524152423568647
gun_control,religion_group_Other religion,0.9392450202150258,0.16262286404454246,5.775602500505502,7.66782033379324e-09,0.6205100636249689,1.2579799768050828
gun_control,race_group_Black,-0.03263566069420211,0.17611021057599255,-0.1853138474337332,0.8529828774546012,-0.3778053307329124,0.3125340093445082
gun_control,race_group_Asian,-0.09240788483116315,0.1879835652515192,-0.4915742751634845,0.6230203327947818,-0.460848902409576,0.2760331327472497
gun_control,race_group_Other,-0.6071779282098797,0.22234213529673177,-2.730827098514443,0.00631756060207092,-1.0429605056372058,-0.17139535078255352
welfare,const,-2.131253059427431,0.1788362327144987,-11.917344863945152,9.612326222410988e-33,-2.4817656346786725,-1.7807404841761898
welfare,theta,0.009850822771076703,0.0481693441000839,0.20450398391576904,0.8379596790671879,-0.08455935682400469,0.10426100236615808
welfare,gender_group_Male,-1.805721885091201,0.10990690676648632,-16.429557870532445,1.1751259528695067e-60,-2.0211354640057158,-1.590308306176686
welfare,education_group_Mid,-0.6548281963508715,0.11750088035266469,-5.572964171719257,2.504410911967363e-08,-0.8851256899938443,-0.4245307027078987
welfare,education_group_Low,-1.3251895873883888,0.14021275332731273,-9.451277119527534,3.347214564221485e-21,-1.6000015340831204,-1.0503776406936571
welfare,ideology_group_Liberal,5.066494667023906,0.1451109633941744,34.91462359919323,4.460378090890407e-267,4.7820824050094135,5.350906929038398
welfare,ideology_group_Conservative,-4.6690815122792655,0.4372786911031863,-10.677587559777718,1.2959570945579217e-26,-5.526131998048326,-3.812031026510205
welfare,age_group_Under 35,0.9284741916885992,0.1330878543100354,6.976400637774715,3.0283834207759404e-12,0.6676267904612161,1.1893215929159824
welfare,age_group_Over 60,-0.14222854121840386,0.1172623674385261,-1.2129086622182184,0.22516474345804216,-0.37205855813981736,0.08760147570300963
welfare,income_group_Middle,-0.2167650671769776,0.12353395236017663,-1.7547003316543743,0.07931057927910849,-0.4588871646708106,0.025357030316855378
welfare,income_group_High,-1.3930360800396115,0.14369220298260266,-9.694583638670162,3.17931761115116e-22,-1.6746676227447317,-1.1114045373344914
welfare,marital_group_Never married,-0.07013330977533215,0.13019430711148355,-0.538681846628501,0.5901064017978466,-0.325309462705987,0.18504284315532266
welfare,marital_group_Previously married,-0.4010851486183125,0.1294895366343845,-3.09743288178397,0.0019520459455276652,-0.6548799767964861,-0.14729032044013896
welfare,religion_group_Non-religious,1.8773496886154926,0.12396980656724853,15.143604242030559,8.350876260152236e-52,1.6343733325732883,2.1203260446576966
welfare,religion_group_Non-Western religion,3.967483150022723,0.26768007767670793,14.821734902567057,1.0601065727475534e-49,3.442839838397491,4.492126461647954
welfare,religion_group_Other religion,1.7970861200351322,0.14372919391728908,12.50327836020071,7.163500799795644e-36,1.5153820764302721,2.0787901636399924
welfare,race_group_Black,2.6715848625665086,0.15188067144238243,17.590025361324553,2.9374612746111346e-69,2.373904216591678,2.9692655085413393
